Jordan|A small industry around Mount Nebo and the northern highlands.
Syria|Bargylus in the Latakia hills continued production through the war.
United States|Fourth-largest producer. California is roughly 80 percent of it, but all 50 states now make wine.
Canada|Icewine is the signature export; Okanagan and Niagara are the quality centres.
Mexico|The oldest wine industry in the Americas (1597); Valle de Guadalupe drives the modern revival.
Argentina|Malbec at altitude. The Uco Valley's high-elevation sites are the current frontier.
Chile|Phylloxera-free, geographically isolated, and the only real home of Carmenère.
Uruguay|Tannat is the national grape, softer here than in its native Madiran.
Brazil|Sparkling wine is the strength; Vale do São Francisco harvests twice a year in the tropics.
Peru|Mostly feeds pisco production, but Ica makes still wine too.
Bolivia|Some of the highest vineyards on earth, above 2,000 m in Tarija.
Colombia|Near-equatorial viticulture with two harvests a year.
Venezuela|Carora in Lara state, tropical and irrigated.
Ecuador|Chota Valley, a rare equatorial wine zone.
Paraguay|Small production, mostly Tannat and hybrids.
Australia|Sixth-largest producer. Shiraz is the signature, and Rutherglen fortifieds are world-class rarities.
New Zealand|Marlborough Sauvignon Blanc changed the global market in a single generation.
South Africa|Wine since 1659. Old-vine Chenin Blanc and the Swartland movement define the modern era.
Morocco|The largest wine industry in the Maghreb, mostly reds and the pale Gris de Boulaouane.
Algeria|Once the world's largest wine exporter under French rule; a fraction of that today.
Tunisia|Muscat de Kelibia is the distinctive one; industry is small and coastal.
Egypt|Winemaking documented to the Pharaohs; today a very small commercial industry.
Ethiopia|Rift Valley plantings, a recent and deliberate investment.
Kenya|Naivasha near Lake Naivasha, at altitude on the equator.
Tanzania|Dodoma has produced wine since the 1930s, originally by missionaries.
Zimbabwe|A small industry, disrupted by land reform.
Namibia|Desert-edge viticulture around Omaruru.
Madagascar|Highland vineyards near Fianarantsoa, mostly hybrids.
China|Now among the largest vineyard areas in the world; Ningxia is the quality centre.
Japan|Koshu is the native white and the country's identity grape.
India|Nashik dominates; the industry is barely three decades old.
Thailand|The original New Latitude wine country, at 14°N with a managed dormancy cycle.
Vietnam|Da Lat highlands; mostly table-grape derived.
Myanmar|Two estates in Shan State at around 1,300 m.
Indonesia|Bali produces year-round with no dormancy — up to three harvests annually.
South Korea|Campbell Early dominates; small but established.
Taiwan|Subtropical viticulture in Changhua, two harvests per year.
Kazakhstan|Assa Valley near Almaty, on old Soviet-era plantings.
Uzbekistan|Long Silk Road grape history; mostly sweet and fortified styles.
Kyrgyzstan|Chüy Valley, very small scale.
Tajikistan|Sughd region, mostly sweet wines.
Turkmenistan|State-run production with fortified styles from Terbash.
Liechtenstein|A few dozen hectares in the Rhine valley, much of it belonging to the Princely family's own estate.
San Marino|A handful of producers on Monte Titano, working the same Sangiovese as neighbouring Romagna.
Cape Verde|Vines grown in volcanic ash inside the Fogo crater, watered by little more than sea mist.
Bhutan|The country's first commercial vineyards were planted in 2019, in Himalayan valleys above 2,000 m.
Cambodia|A tropical industry of a handful of estates near Battambang, harvesting twice a year.
Laos|French-planted vines around Vientiane, revived by a single estate on the Mekong.
Nepal|Very small Himalayan plantings; the monsoon, not the cold, is the limiting factor.
