canonical|color|origin|synonyms|note
Bombino Bianco|White|Italy (Puglia)|Pagadebit|
Sangiovese|Red|Italy (Tuscany)|Sangiovese Grosso; Prugnolo Gentile; Brunello; Nielluccio|Italy's most planted grape; Corsica's Nielluccio is the same variety.
Vernaccia di San Gimignano|White|Italy (Tuscany)||
Aleatico|Red|Italy||
Trebbiano Toscano|White|Italy (Tuscany)|Trebbiano; Ugni Blanc; Procanico|The base of both Vin Santo and Cognac.
Verdicchio|White|Italy (Marche)|Trebbiano di Soave|Genetically identical to the Veneto's Trebbiano di Soave.
Pecorino|White|Italy (Marche)||
Passerina|White|Italy (Marche)||
Vernaccia Nera|Red|Italy (Marche)||
Lacrima|Red|Italy (Marche)||
Biancame|White|Italy (Marche)||
Montepulciano|Red|Italy (Abruzzo)||A grape, not the Tuscan town of the same name.
Trebbiano Abruzzese|White|Italy (Abruzzo)||
Trebbiano Spoletino|White|Italy (Umbria)||
Sagrantino|Red|Italy (Umbria)||Among the most tannic varieties measured anywhere.
Malvasia del Lazio|White|Italy (Lazio)|Malvasia Puntinata|
Cesanese|Red|Italy (Lazio)||
Nero Buono|Red|Italy (Lazio)||
Tintilia|Red|Italy (Molise)||
Aglianico|Red|Italy (Campania)||Late-ripening and structured; the "Barolo of the south".
Fiano|White|Italy (Campania)||
Greco|White|Italy (Campania)|Greco Bianco|
Falanghina|White|Italy (Campania)||
Piedirosso|Red|Italy (Campania)||
Biancolella|White|Italy (Campania)||
Forastera|White|Italy (Campania)||
Asprinio|White|Italy (Campania)||
Negroamaro|Red|Italy (Puglia)||
Nero di Troia|Red|Italy (Puglia)|Uva di Troia|
Bombino Nero|Red|Italy (Puglia)||
Verdeca|White|Italy (Puglia)||
Bianco d'Alessano|White|Italy (Puglia)||
Malvasia Nera|Red|Italy||
Gaglioppo|Red|Italy (Calabria)||
Magliocco|Red|Italy (Calabria)||
Nerello Mascalese|Red|Italy (Sicily)|Nerello|Etna's red; often compared to Nebbiolo for its perfume and tannin.
Nerello Cappuccio|Red|Italy (Sicily)||
Nero d'Avola|Red|Italy (Sicily)|Calabrese|
Frappato|Red|Italy (Sicily)||
Carricante|White|Italy (Sicily)||
Catarratto|White|Italy (Sicily)||
Grillo|White|Italy (Sicily)||
Inzolia|White|Italy (Sicily)|Ansonica|
Perricone|Red|Italy (Sicily)||
Nocera|Red|Italy (Sicily)||
Malvasia di Lipari|White|Greece||
Vermentino|White|Italy (Liguria)|Rolle; Vermentinu; Pigato; Favorita|
Rossese|Red|Italy (Liguria)||
Bosco|White|Italy (Liguria)||
Albarola|White|Italy (Liguria)||
Vernaccia di Oristano|White|Italy (Sardinia)||
Monica|Red|Italy (Sardinia)||
Nuragus|White|Italy (Sardinia)||
Nasco|White|Italy (Sardinia)||
Girò|Red|Italy (Sardinia)||
Bovale|Red|Spain||
Malvasia di Sardegna|White|Greece||
Malvasia|White|Greece|Malvazija; Malvasía|A family of related varieties, not one grape.
Malvasia Fina|White|Portugal||
Malvasia Rei|White|Portugal||
Malvazija Istarska|White|Croatia (Istria)||
Maraština|White|Croatia||
Tempranillo|Red|Spain (Rioja)|Tinta Roriz; Aragonez; Tinto Fino; Cencibel; Tinta de Toro; Ull de Llebre|Spain's noble red, with a different name in nearly every region that grows it.
Graciano|Red|Spain (Rioja)||
Viura|White|Spain (Rioja)|Macabeo; Macabeu|
Verdejo|White|Spain (Rueda)||
Albariño|White|Spain (Galicia)|Alvarinho|The same grape as Portugal's Alvarinho, across the river.
Godello|White|Spain (Galicia)||
Treixadura|White|Spain (Galicia)|Trajadura|
Mencía|Red|Spain (Bierzo)|Jaen|The Jaen of Portugal's Dão is the same grape.
Juan García|Red|Spain (Castilla y León)||
Prieto Picudo|Red|Spain (Castilla y León)||
Rufete|Red|Portugal||
Albarín Negro|Red|Spain (Asturias)||
Verdejo Negro|Red|Spain (Asturias)||
Xarel·lo|White|Spain (Catalonia)|Pansa Blanca|
Parellada|White|Spain (Catalonia)||
Trepat|Red|Spain (Catalonia)||
Picapoll|White|Spain (Catalonia)||
Moristel|Red|Spain (Aragón)||
Hondarrabi Zuri|White|Spain (Basque Country)||The Txakoli grape.
Bobal|Red|Spain (Valencia)||
Merseguera|White|Spain (Valencia)||
Airén|White|Spain (La Mancha)||Once the single most planted wine grape on earth, almost all of it in one country.
Romé|Red|Spain (Andalusia)||
Palomino|White|Spain (Jerez)|Listán Blanco|The sherry grape; neutral by nature, transformed entirely by flor and oxidation.
Pedro Ximénez|White|Spain (Andalusia)|PX|
Zalema|White|Spain (Andalusia)||
Listán Negro|Red|Spain (Canary Islands)||
Malvasía Volcánica|White|Spain (Canary Islands)||
Negramoll|Red|Spain (Canary Islands)|Negra Mole; Tinta Negra|Madeira's Tinta Negra is generally held to be the same variety.
Vijariego|White|Spain (Canary Islands)||
Forastera Gomera|White|Spain (Canary Islands)||
Manto Negro|Red|Spain (Mallorca)||
Callet|Red|Spain (Mallorca)||
Fogoneu|Red|Spain (Mallorca)||
Touriga Nacional|Red|Portugal (Douro)||Portugal's flagship red, for Port and increasingly for table wine.
Touriga Franca|Red|Portugal (Douro)||The most planted grape in the Douro.
Tinta Barroca|Red|Portugal (Douro)|Tinta Barocca|
Tinta Miúda|Red|Spain (Rioja)||
Trincadeira|Red|Portugal (Alentejo)|Tinta Amarela|
Castelão|Red|Portugal|Periquita|
Baga|Red|Portugal (Bairrada)||
Alfrocheiro|Red|Portugal (Dão)||
Ramisco|Red|Portugal (Colares)||Grown ungrafted in deep sand, which phylloxera cannot cross.
Vinhão|Red|Portugal (Minho)|Sousão|
Grand Noir|Red|France||
Loureiro|White|Portugal (Minho)||
Arinto|White|Portugal (Lisboa)|Pedernã|
Arinto dos Açores|White|Portugal (Azores)||
Encruzado|White|Portugal (Dão)||
Antão Vaz|White|Portugal (Alentejo)||
Roupeiro|White|Portugal (Alentejo)|Síria|
Fernão Pires|White|Portugal|Maria Gomes|
Rabigato|White|Portugal (Douro)||
Viosinho|White|Portugal (Douro)||
Gouveio|White|Portugal (Douro)|Verdelho do Dão|
Cerceal|White|Portugal||
Sercial|White|Portugal (Madeira)||The driest of the Madeira grapes.
Verdelho|White|Portugal (Madeira)||
Boal|White|Portugal (Madeira)|Bual|
Terrantez|White|Portugal (Madeira)||Nearly extinct; a few hectares survive.
Galego Dourado|White|Portugal (Carcavelos)||
Moscatel Roxo|Pink|Portugal (Setúbal)||
País|Red|Spain|Listán Prieto; Mission; Criolla Chica; Negra Criolla|The first vinifera grape planted in the Americas, in the 1500s.
Torrontés Riojano|White|Argentina|Torrontés|A Muscat of Alexandria x País crossing born in Argentina.
Bonarda Argentina|Red|France (Savoie)|Douce Noire; Corbeau|Argentina's second-most planted red; unrelated to Italy's Bonarda.
Quebranta|Red|Peru||A País x Negramoll crossing; mostly distilled into pisco.
Vischoqueña|Red|Bolivia||
Pinotage|Red|South Africa||Pinot Noir x Cinsault, bred in 1925 at Stellenbosch.
Zinfandel|Red|Croatia|Primitivo; Crljenak Kaštelanski; Tribidrag|Zinfandel, Primitivo and Croatia's Tribidrag are one grape, settled by DNA in 2001.
Norton|Red|United States||A Vitis aestivalis hybrid; the backbone of 19th-century Missouri wine.
Concord|Red|United States||Vitis labrusca; the flavour most Americans call "grape".
Delaware|Pink|United States||Vitis labrusca hybrid, widely grown in Japan.
Vignoles|White|France||Hybrid.
Frontenac|Red|United States||Cold-hardy hybrid bred in Minnesota.
L'Acadie Blanc|White|Canada||Bred in Ontario; Nova Scotia's signature white.
Cardinal|Red|United States||A table grape used for wine in Southeast Asia.
Campbell Early|Red|United States||Labrusca hybrid; the mainstay of Korean wine.
Black Queen|Red|Japan||
Golden Muscat|White|United States||
Riesling Lion|White|Japan||
Koshu|Pink|Japan||Pink-skinned, vinified white; carried to Japan along the Silk Road.
Cabernet Gernischt|Red|France||Long grown in China; DNA suggests it is Carmenère.
Longyan|White|China||
Makutupora|Red|Tanzania||
Bannati|White|Egypt||
Malaga Blanc|White|Spain||
Alphonse Lavallée|Red|France||A table grape vinified in Bali.
Belgia|White|Indonesia||
Furmint|White|Hungary|Šipon; Moslavac|The Tokaji grape; botrytis-prone and fiercely acidic.
Hárslevelű|White|Hungary|Lipovina|
Kadarka|Red|Hungary|Gamza|Bulgaria grows the same grape as Gamza.
Juhfark|White|Hungary (Somló)||
Kéknyelű|White|Hungary (Badacsony)||
Ezerjó|White|Hungary||
Cserszegi Fűszeres|White|Hungary||
Kevedinka|White|Serbia||
Fetească Albă|White|Romania||
Fetească Neagră|Red|Romania||
Fetească Regală|White|Romania||A 20th-century Fetească Albă x Grasă crossing.
Grasă de Cotnari|White|Romania||Botrytis-prone; the Cotnari sweet-wine grape.
Băbească Neagră|Red|Romania||
Crâmpoșie Selecționată|White|Romania||
Cadarcă|Red|Hungary||
Busuioacă de Bohotin|Pink|Romania||
Mavrud|Red|Bulgaria||
Shiroka Melnishka Loza|Red|Bulgaria||
Early Melnik|Red|Bulgaria||
Dimyat|White|Bulgaria||
Red Misket|Pink|Bulgaria||
Rubin|Red|Bulgaria||Nebbiolo x Syrah, bred in Bulgaria in 1944.
Pamid|Red|Bulgaria||
Rara Neagră|Red|Moldova||
Saperavi|Red|Georgia||A teinturier with red flesh; Georgia's principal red.
Rkatsiteli|White|Georgia||One of the oldest cultivated varieties still in commercial use.
Mtsvane|White|Georgia|Mtsvane Kakhuri|
Kisi|White|Georgia||
Chinuri|White|Georgia (Kartli)||
Goruli Mtsvane|White|Georgia (Kartli)||
Tsolikouri|White|Georgia (Imereti)||
Tsitska|White|Georgia (Imereti)||
Krakhuna|White|Georgia (Imereti)||
Aleksandrouli|Red|Georgia (Racha)||
Mujuretuli|Red|Georgia (Racha)||
Areni Noir|Red|Armenia|Areni|Grown beside the world's oldest known winery, dated to about 4100 BC.
Voskehat|White|Armenia||
Kakhet|Red|Armenia||
Haghtanak|Red|Armenia||
Madrasa|Red|Azerbaijan||
Bayanshira|White|Azerbaijan|Bayan Shirey|
Kokur|White|Ukraine (Crimea)||
Krasnostop Zolotovsky|Red|Russia (Don)||
Tsimlyansky Cherny|Red|Russia (Don)||
Terbash|White|Turkmenistan||
Plavac Mali|Red|Croatia||An offspring of Zinfandel and Dobričić.
Pošip|White|Croatia (Korčula)||
Grk|White|Croatia (Korčula)||Female-flowered; must be interplanted with another variety to fruit.
Babić|Red|Croatia||
Vugava|White|Croatia (Vis)||
Bogdanuša|White|Croatia (Hvar)||
Žlahtina|White|Croatia (Krk)||
Traminac|Pink|Italy (Alto Adige)||Croatian name for Gewürztraminer.
Zelen|White|Slovenia (Vipava)||
Pinela|White|Slovenia (Vipava)||
Žametovka|Red|Slovenia||Home to the world's oldest living grapevine, in Maribor.
Prokupac|Red|Serbia||
Stanušina|Red|North Macedonia||
Vranac|Red|Montenegro|Vranec|
Krstač|White|Montenegro||
Žilavka|White|Bosnia and Herzegovina||
Blatina|Red|Bosnia and Herzegovina||Female-flowered; needs a pollinator variety.
Kallmet|Red|Albania||
Shesh i Zi|Red|Albania||
Shesh i Bardhë|White|Albania||
Agiorgitiko|Red|Greece (Nemea)||
Xinomavro|Red|Greece (Macedonia)||Pale, tannic and slow — Greece's answer to Nebbiolo.
Assyrtiko|White|Greece (Santorini)||Holds searing acidity in volcanic heat.
Moschofilero|Pink|Greece (Mantinia)||
Roditis|Pink|Greece||
Savatiano|White|Greece (Attica)||The Retsina grape and Greece's most planted variety.
Athiri|White|Greece||
Aidani|White|Greece (Santorini)||
Mavrodaphne|Red|Greece (Patras)||
Monemvasia|White|Greece||The probable origin of the name Malvasia.
Robola|White|Greece (Cephalonia)||
Debina|White|Greece (Epirus)||
Negoska|Red|Greece (Macedonia)||
Krassato|Red|Greece (Thessaly)||
Stavroto|Red|Greece (Thessaly)||
Mavro Messenikola|Red|Greece (Thessaly)||
Kotsifali|Red|Greece (Crete)||
Liatiko|Red|Greece (Crete)||
Mandilaria|Red|Greece||
Vidiano|White|Greece (Crete)||
Thrapsathiri|White|Greece (Crete)||
Mavro|Red|Cyprus||Cyprus's most planted variety.
Xynisteri|White|Cyprus||
Maratheftiko|Red|Cyprus||
Ġellewża|Red|Malta||
Girgentina|White|Malta||
Papazkarası|Red|Turkey (Thrace)||
Sultaniye|White|Turkey||Sultana / Thompson Seedless, vinified in the Aegean.
Bornova Misketi|White|Turkey (Aegean)||
Emir|White|Turkey (Cappadocia)||
Kalecik Karası|Red|Turkey (Anatolia)||
Öküzgözü|Red|Turkey (Elazığ)||
Boğazkere|Red|Turkey (Diyarbakır)||Tannic enough that it is almost always blended with Öküzgözü.
Narince|White|Turkey (Tokat)||
Obeidi|White|Lebanon||
Dabouki|White|Levant||
Jandali|White|Levant||
Hamdani|White|Levant||
Blauer Portugieser|Red|Austria|Modrý Portugal|A separate variety from Blaufränkisch despite the shared vineyards.
Muscat Bailey A|Red|Japan|MBA|Bailey x Muscat Hamburg, bred in Japan in 1927.
Italia|White|Italy||A table grape (Bicane x Muscat Hamburg) vinified in Peru.
Gringet|White|France (Savoie)||Grown almost only at Ayze, on a few dozen hectares.
Persan|Red|France (Savoie)||
Verdesse|White|France (Savoie)||
Avanà|Red|Italy (Piedmont)||
Gamba Rossa|Red|Italy (Piedmont)||
Bonarda Piemontese|Red|Italy (Piedmont)||A third distinct grape called Bonarda, after Croatina and Argentina's.
Malvasia di Casorzo|Red|Italy (Piedmont)||
Malvasia di Schierano|Red|Italy (Piedmont)||
Groppello|Red|Italy (Lombardy)||
Enantio|Red|Italy (Trentino)||
Casetta|Red|Italy (Trentino)||
Tai Rosso|Red|Spain (Aragón)||Grenache under a Veneto name.
Malvasia di Candia Aromatica|White|Greece||
Spergola|White|Italy (Emilia)||
Montuni|White|Italy (Emilia)||
Trebbiano Romagnolo|White|Italy (Emilia-Romagna)||
Maceratino|White|Italy (Marche)||
Ciliegiolo|Red|Italy (Tuscany)||A parent of Sangiovese.
Gamay del Trasimeno|Red|Spain (Aragón)||Grenache again, misnamed for Gamay.
Sciascinoso|Red|Italy (Campania)||
Moreto|Red|Portugal||
Impigno|White|Italy (Puglia)||
Francavidda|White|Italy (Puglia)||
Greco Nero|Red|Italy (Calabria)||
Cagnulari|Red|Italy (Sardinia)||
Semidano|White|Italy (Sardinia)||
Ormeasco|Red|Italy (Piedmont)|Dolcetto (Liguria)|Liguria's name for Dolcetto.
Cabernet Pfeffer|Red|United States||A California curiosity of uncertain parentage.
Catawba|Pink|United States||Vitis labrusca hybrid, and America's first commercial wine grape.
Traminette|White|United States||Gewürztraminer x Joannes Seyve; Indiana's signature white.
Marquette|Red|United States||Cold-hardy hybrid, a grandchild of Pinot Noir.
Frontenac Gris|White|United States||Colour mutation of Frontenac.
Cynthiana|Red|United States|Norton (Arkansas)|Arkansas's name for Norton.
Avesso|White|Portugal (Minho)||
Azal|White|Portugal (Minho)||
Síria|White|Portugal||
Gutedel|White|Switzerland||German name for Chasselas.
Pušipel|White|Hungary||Croatian name for Furmint.
Rumeni Muškat|White|Greece||Slovenian Yellow Muscat.
Kreaca|White|Serbia||
Zghihară de Huși|White|Romania||
Tavkveri|Red|Georgia||
Chkhaveri|Pink|Georgia||
Ojaleshi|Red|Georgia||
Limnio|Red|Greece (Lemnos)||Named by Aristotle, which makes it a candidate for the oldest named grape still grown.
Malagousia|White|Greece||Rescued from near-extinction in the 1970s.
Fokiano|Red|Greece||
Vertzami|Red|Greece (Lefkada)||
Kakotrygis|White|Greece (Corfu)||Its name means "hard to harvest".
Vilana|White|Greece (Crete)||
Muscat of Hamburg|Red|United Kingdom||
Cirfandli|White|Hungary (Pécs)||
Çalkarası|Red|Turkey (Denizli)||
Baladi|White|Levant||
Goethe|White|United States||Hybrid; Santa Catarina's signature.
Bordô|Red|United States|Ives|Labrusca hybrid widely grown in Brazil.
Vitis amurensis|Red|China||A cold-hardy wild Asian species, not a vinifera variety.
Alarije|White|Spain (Extremadura)||
Molinera|Red|Spain||
Agudelo|White|Spain (Galicia)||Galician name for Chenin Blanc.
Moscatel de Alejandría|White|Egypt||Spanish name for Muscat of Alexandria.
